user,subfolder,decision,rationale
allen-p,all_documents,SYSTEM,Lotus Notes all-documents view — duplicates every other folder
allen-p,contacts,CONTENT-MISMATCH,Address book — not email
allen-p,deleted_items,SYSTEM,Lotus Notes deleted-items bin — not authored email
allen-p,discussion_threads,SYSTEM,Lotus Notes threading index — duplicates inbox content
allen-p,inbox,INCLUDED,Primary received mail — standard business email
allen-p,notes_inbox,SYSTEM,Lotus Notes internal inbox mirror — duplicates inbox
allen-p,sent,INCLUDED,Sent mail variant — standard business email
allen-p,sent_items,INCLUDED,Primary sent mail — standard business email
allen-p,straw,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
allen-p,_sent_mail,SYSTEM,Lotus Notes sent-mail artefact — duplicates sent_items
arnold-j,2000_conference,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,active_international,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,all_documents,SYSTEM,Lotus Notes all-documents view — duplicates every other folder
arnold-j,avaya,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,bmc,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,bridge,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,bristol_babcock,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,colleen_koenig,PII/LEGAL,Named individual folder — personal PII
arnold-j,compaq,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,computer_associates,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,continental_airlines,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,cooper_cameron,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,corestaff,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,deleted_items,SYSTEM,Lotus Notes deleted-items bin — not authored email
arnold-j,dell,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,discussion_threads,SYSTEM,Lotus Notes threading index — duplicates inbox content
arnold-j,ebs,INCLUDED,EBS broadband operations
arnold-j,ees,INCLUDED,Enron Energy Services operational correspondence
arnold-j,enron_europe,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,etol,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,fedex,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,ge,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,hp,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,human_resources,PII/LEGAL,HR department records — sensitive PII
arnold-j,inbox,INCLUDED,Primary received mail — standard business email
arnold-j,kinko_s,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,nepco,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,nepco_europe,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,notes_inbox,SYSTEM,Lotus Notes internal inbox mirror — duplicates inbox
arnold-j,oec,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,pcc_values,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,personal,PII/LEGAL,Self-labelled personal folder — explicit personal correspondence
arnold-j,purchasing,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,requisite,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,sap,INCLUDED,SAP enterprise system — business
arnold-j,sarah_joy_hunter,PII/LEGAL,Named individual folder — personal PII
arnold-j,sent,INCLUDED,Sent mail variant — standard business email
arnold-j,sent_items,INCLUDED,Primary sent mail — standard business email
arnold-j,sonoco,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,sony,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,sparefinders_com,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,tasks,CONTENT-MISMATCH,Task list entries — not email
arnold-j,universal_studios,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,vulcan_signs,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arnold-j,weekly_report,INCLUDED,Weekly operational report
arnold-j,_sent_mail,SYSTEM,Lotus Notes sent-mail artefact — duplicates sent_items
arora-h,all_documents,SYSTEM,Lotus Notes all-documents view — duplicates every other folder
arora-h,deleted_items,SYSTEM,Lotus Notes deleted-items bin — not authored email
arora-h,discussion_threads,SYSTEM,Lotus Notes threading index — duplicates inbox content
arora-h,drafts,SYSTEM,Draft emails — not delivered
arora-h,funny,INCLUDED,Humour emails — legitimate ham
arora-h,inbox,INCLUDED,Primary received mail — standard business email
arora-h,presentations,INCLUDED,Business presentations
arora-h,savedmail,SYSTEM,Saved mail artefact — duplicates
arora-h,sent,INCLUDED,Sent mail variant — standard business email
arora-h,sent_items,INCLUDED,Primary sent mail — standard business email
arora-h,vanderbilt,INCLUDED,Vanderbilt — institutional/business
badeer-r,all_documents,SYSTEM,Lotus Notes all-documents view — duplicates every other folder
badeer-r,california,INCLUDED,California energy market business correspondence
badeer-r,cal_articles,INCLUDED,California articles — business
badeer-r,capx,INCLUDED,Capital expenditure — business
badeer-r,contacts,CONTENT-MISMATCH,Address book — not email
badeer-r,deleted_items,SYSTEM,Lotus Notes deleted-items bin — not authored email
badeer-r,discussion_threads,SYSTEM,Lotus Notes threading index — duplicates inbox content
badeer-r,dj_articles,INCLUDED,DJ articles — business
badeer-r,inbox,INCLUDED,Primary received mail — standard business email
badeer-r,memo_s,INCLUDED,Business memos
badeer-r,move,SYSTEM,Migration staging — system artefact
badeer-r,notes_inbox,SYSTEM,Lotus Notes internal inbox mirror — duplicates inbox
badeer-r,press_releases,INCLUDED,Press releases — business
badeer-r,sent_items,INCLUDED,Primary sent mail — standard business email
badeer-r,var,INCLUDED,VAR risk analysis — business
badeer-r,_sent_mail,SYSTEM,Lotus Notes sent-mail artefact — duplicates sent_items
bailey-s,all_documents,SYSTEM,Lotus Notes all-documents view — duplicates every other folder
bailey-s,deleted_items,SYSTEM,Lotus Notes deleted-items bin — not authored email
bailey-s,inbox,INCLUDED,Primary received mail — standard business email
bailey-s,notes_inbox,SYSTEM,Lotus Notes internal inbox mirror — duplicates inbox
