subfolder,users,decision,rationale
05_saved,1,SYSTEM,Numbered archive dump — duplicates
06_saved,1,SYSTEM,Numbered archive dump — duplicates
07_saved,1,SYSTEM,Numbered archive dump — duplicates
08_saved,1,SYSTEM,Numbered archive dump — duplicates
09_saved,1,SYSTEM,Numbered archive dump — duplicates
10_fantasy,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
10_saved,1,SYSTEM,Numbered archive dump — duplicates
12_fantasy,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
2000_conference,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
2000_goals_and_objectives,1,INCLUDED,Business goals and objectives
2001_budget,1,PII/LEGAL,Budget records — financially sensitive
2001_budget__cost_cutting,1,PII/LEGAL,Budget/cost records — financially sensitive
2001_goals_and_objectives,1,INCLUDED,Business goals and objectives
2001_mid_year_prc,1,PII/LEGAL,PRC midyear — HR sensitive
2001_objectives,1,PII/LEGAL,Individual performance objectives — sensitive PII
2001_plan,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
2001_prc__midyear,1,PII/LEGAL,PRC midyear review — sensitive HR data
2001_witchunt,1,PII/LEGAL,Internal investigation reference — litigation sensitive
2002_budget,1,PII/LEGAL,Budget records — financially sensitive
24_hr_power,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
2_trash,1,SYSTEM,Trash bin — system artefact
6day,1,SYSTEM,Numbered operational view — system artefact
_americas,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
_exchange,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
_exchange_info,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
_exchange_pos,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
_hedgefunds,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
_sent,3,SYSTEM,Lotus Notes sent artefact variant — duplicates sent_items
_sent_mail,78,SYSTEM,Lotus Notes sent-mail artefact — duplicates sent_items
aadepartment,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
ab_1890_group,1,INCLUDED,AB 1890 regulatory group — public policy
abramo,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
abraxas,1,INCLUDED,Abraxas counterparty — business
accomplish,1,INCLUDED,Accomplishments reporting — business
accomplishments,1,PII/LEGAL,Individual performance records — sensitive PII
account_assignments,1,INCLUDED,Account assignments — business
accounting,2,PII/LEGAL,Accounting records — financially sensitive
accounting_issues,1,PII/LEGAL,Accounting issues — financially sensitive
acctg___2001_new_accctg_sys,1,PII/LEGAL,Accounting system records — financially sensitive
acctg___customer_issues_on_billing,1,PII/LEGAL,Billing records — financially sensitive
acctg___invoicing_info,1,PII/LEGAL,Invoicing records — financially sensitive
acctg___measurement_issues,1,PII/LEGAL,Measurement/billing records — financially sensitive
accting,1,PII/LEGAL,Accounting records — financially sensitive
ace,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
action_items_in,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
active_international,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
ad_gas,1,INCLUDED,AD gas operations — business
administrative,3,INCLUDED,Administrative correspondence
administrivia,1,INCLUDED,Administrative correspondence
advertising,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
advisory_board_on_electricity_and_the_environment,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
aec,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
affiliate_codes_of_conduct,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
affiliate_rules,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
africa,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
aga_storage_report,1,INCLUDED,AGA storage report — business
agave,1,INCLUDED,Agave project — business
agency_com,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
akzo_nobel___filtrol,1,INCLUDED,Akzo Nobel counterparty — business
alberta,1,INCLUDED,Alberta operations — business
albertappas,1,PII/LEGAL,Named individual — PII
all_documents,110,SYSTEM,Lotus Notes all-documents view — duplicates every other folder
alliance,1,INCLUDED,Alliance project — business
alliance_rto,1,INCLUDED,Alliance RTO — regulatory
alternate_delivery_by_price,1,INCLUDED,Alternate delivery pricing — business
amerex,1,INCLUDED,Amerex broker — business correspondence
analyst_assoc_program,1,PII/LEGAL,Analyst programme records — sensitive PII
analyst_associate,1,INCLUDED,Analyst associate programme — business
analyst_associate_program,1,PII/LEGAL,Analyst programme records — sensitive PII
analyst_meeting_2001,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
andersen_requests,1,PII/LEGAL,Arthur Andersen audit requests — litigation sensitive
annex_5,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
announcements,1,INCLUDED,Business announcements
annual_report,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
antitrust,2,PII/LEGAL,Antitrust legal matter — litigation sensitive
apollo__beth,1,PII/LEGAL,Named individual folder — personal PII
appala,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
approval_authorizations,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
aquila,1,INCLUDED,Aquila counterparty — business
aquila_red_lake_storage,1,INCLUDED,Aquila Red Lake storage — business
archive,1,SYSTEM,Archive dump — likely duplicates other folders
archiving,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arco,1,INCLUDED,ARCO counterparty — business
arcor,1,INCLUDED,Arcor counterparty — business
arena,1,INCLUDED,Single-user business folder — no PII markers detected; default INCLUDED
arg__deriv__assn_,1,INCLUDED,Argentina Derivatives Association
argen__local_form,1,INCLUDED,Argentina local forms — operations
argentina,2,INCLUDED,Argentina operations
argentina___financial_trading,1,INCLUDED,Argentina financial trading
argentina___holidays,1,INCLUDED,Argentina holiday schedule — operations
argentina___phone_list,1,INCLUDED,Argentina phone list — operations
argentina_duke_dispute,1,INCLUDED,Argentina Duke dispute — business
argentina_isda,1,INCLUDED,Argentina ISDA — business
argentina_legal_report,1,INCLUDED,Argentina legal report — business
argentina_tax,1,INCLUDED,Argentina tax — business
arizona,1,INCLUDED,Arizona operations — business
art,2,INCLUDED,Art committee — corporate
